Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       97     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::_M_erase(std::_List_iterator<StackElement>)
  0.00      0.00     0.00       97     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::pop_front()
  0.00      0.00     0.00       96     0.00     0.00  StackElement::operator=(StackElement const&)
  0.00      0.00     0.00       95     0.00     0.00  reduceByRule(std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >)
  0.00      0.00     0.00       95     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_impl::_Deque_impl(std::allocator<StackElement>&&)
  0.00      0.00     0.00       95     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_base(std::_Deque_base<StackElement, std::allocator<StackElement> >&&)
  0.00      0.00     0.00       95     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_base(std::_Deque_base<StackElement, std::allocator<StackElement> >&&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       95     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_erase_at_end(std::_Deque_iterator<StackElement, StackElement&, StackElement*>)
  0.00      0.00     0.00       95     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_move_assign1(std::deque<StackElement, std::allocator<StackElement> >&&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       95     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::clear()
  0.00      0.00     0.00       95     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::deque(std::deque<StackElement, std::allocator<StackElement> >&&)
  0.00      0.00     0.00       95     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::operator=(std::deque<StackElement, std::allocator<StackElement> >&&)
  0.00      0.00     0.00       95     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::stack(std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >&&)
  0.00      0.00     0.00       95     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::operator=(std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >&&)
  0.00      0.00     0.00       95     0.00     0.00  void std::__alloc_on_move<std::allocator<StackElement> >(std::allocator<StackElement>&, std::allocator<StackElement>&)
  0.00      0.00     0.00       95     0.00     0.00  void std::__do_alloc_on_move<std::allocator<StackElement> >(std::allocator<StackElement>&, std::allocator<StackElement>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       95     0.00     0.00  std::remove_reference<std::_Deque_base<StackElement, std::allocator<StackElement> >&>::type&& std::move<std::_Deque_base<StackElement, std::allocator<StackElement> >&>(std::_Deque_base<StackElement, std::allocator<StackElement> >&)
  0.00      0.00     0.00       75     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_get_size() const
  0.00      0.00     0.00       75     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::_M_node_count() const
  0.00      0.00     0.00       75     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::size() const
